group,slot,observed_attempts,status
coastal,2026-04-12(day),1,backfill
coastal,2026-04-13(day),1,backfill
coastal,2026-04-14(day),1,backfill
coastal,2026-04-15(day),1,backfill
coastal,2026-04-16(day),1,backfill
coastal,2026-04-17(day),1,backfill
coastal,2026-04-18(day),1,backfill
coastal,2026-04-19(day),1,backfill
coastal,2026-04-20(day),1,backfill
coastal,2026-04-21(day),1,backfill
coastal,2026-04-22(day),1,backfill
coastal,2026-04-23(day),1,backfill
coastal,2026-04-24(day),1,backfill
coastal,2026-04-25(day),1,backfill
coastal,2026-04-26(day),1,backfill
coastal,2026-04-27(day),1,backfill
coastal,2026-04-28(day),1,backfill
coastal,2026-04-29(day),1,backfill
coastal,2026-04-30(day),1,backfill
coastal,2026-05-01(day),1,backfill
coastal,2026-05-02(day),1,backfill
coastal,2026-05-03(day),1,backfill
coastal,2026-05-04(day),1,backfill
coastal,2026-05-05(day),1,backfill
coastal,2026-05-06(day),1,backfill
coastal,2026-05-07(day),1,backfill
coastal,2026-05-08T02:00Z,1,pre-manifest
coastal,2026-05-08T08:00Z,1,pre-manifest
coastal,2026-05-08T14:00Z,1,pre-manifest
coastal,2026-05-08T20:00Z,1,pre-manifest
coastal,2026-05-09T02:00Z,1,pre-manifest
coastal,2026-05-09T08:00Z,1,pre-manifest
coastal,2026-05-09T14:00Z,1,pre-manifest
coastal,2026-05-09T20:00Z,1,pre-manifest
coastal,2026-05-10T02:00Z,1,pre-manifest
coastal,2026-05-10T08:00Z,1,pre-manifest
coastal,2026-05-10T14:00Z,1,pre-manifest
coastal,2026-05-10T20:00Z,1,pre-manifest
coastal,2026-05-11T02:00Z,1,pre-manifest
coastal,2026-05-11T08:00Z,1,pre-manifest
coastal,2026-05-11T14:00Z,1,pre-manifest
coastal,2026-05-11T20:00Z,1,pre-manifest
coastal,2026-05-12T02:00Z,1,pre-manifest
coastal,2026-05-12T08:00Z,1,pre-manifest
coastal,2026-05-12T14:00Z,1,pre-manifest
coastal,2026-05-12T20:00Z,1,pre-manifest
coastal,2026-05-13T02:00Z,1,pre-manifest
coastal,2026-05-13T08:00Z,1,pre-manifest
coastal,2026-05-13T14:00Z,1,pre-manifest
coastal,2026-05-13T20:00Z,1,pre-manifest
coastal,2026-05-14T02:00Z,1,pre-manifest
coastal,2026-05-14T08:00Z,1,pre-manifest
coastal,2026-05-14T14:00Z,1,pre-manifest
coastal,2026-05-14T20:00Z,1,pre-manifest
coastal,2026-05-15T02:00Z,1,pre-manifest
coastal,2026-05-15T08:00Z,1,pre-manifest
coastal,2026-05-15T14:00Z,1,pre-manifest
coastal,2026-05-15T20:00Z,1,pre-manifest
coastal,2026-05-16T02:00Z,1,pre-manifest
coastal,2026-05-16T08:00Z,1,pre-manifest
coastal,2026-05-16T14:00Z,1,pre-manifest
coastal,2026-05-16T20:00Z,1,pre-manifest
coastal,2026-05-17T02:00Z,1,pre-manifest
coastal,2026-05-17T08:00Z,1,pre-manifest
coastal,2026-05-17T14:00Z,1,pre-manifest
coastal,2026-05-17T20:00Z,1,pre-manifest
coastal,2026-05-18T02:00Z,1,pre-manifest
coastal,2026-05-18T08:00Z,1,pre-manifest
coastal,2026-05-18T14:00Z,1,pre-manifest
coastal,2026-05-18T20:00Z,1,pre-manifest
coastal,2026-05-19T02:00Z,1,pre-manifest
coastal,2026-05-19T08:00Z,1,pre-manifest
coastal,2026-05-19T14:00Z,1,pre-manifest
coastal,2026-05-19T20:00Z,1,pre-manifest
coastal,2026-05-20T02:00Z,1,pre-manifest
coastal,2026-05-20T08:00Z,1,pre-manifest
coastal,2026-05-20T14:00Z,1,pre-manifest
coastal,2026-05-20T20:00Z,1,pre-manifest
coastal,2026-05-21T02:00Z,1,pre-manifest
coastal,2026-05-21T08:00Z,1,pre-manifest
coastal,2026-05-21T14:00Z,1,pre-manifest
coastal,2026-05-21T20:00Z,1,pre-manifest
coastal,2026-05-22T02:00Z,1,pre-manifest
coastal,2026-05-22T08:00Z,1,pre-manifest
coastal,2026-05-22T14:00Z,1,pre-manifest
coastal,2026-05-22T20:00Z,1,pre-manifest
coastal,2026-05-23T02:00Z,1,pre-manifest
coastal,2026-05-23T08:00Z,1,pre-manifest
coastal,2026-05-23T14:00Z,1,pre-manifest
coastal,2026-05-23T20:00Z,1,pre-manifest
coastal,2026-05-24T02:00Z,1,pre-manifest
coastal,2026-05-24T08:00Z,1,pre-manifest
coastal,2026-05-24T14:00Z,1,pre-manifest
coastal,2026-05-24T20:00Z,1,pre-manifest
coastal,2026-05-25T02:00Z,1,pre-manifest
coastal,2026-05-25T08:00Z,1,pre-manifest
coastal,2026-05-25T14:00Z,1,pre-manifest
coastal,2026-05-25T20:00Z,1,pre-manifest
coastal,2026-05-26T02:00Z,1,pre-manifest
coastal,2026-05-26T08:00Z,0,missing
coastal,2026-05-26T14:00Z,1,pre-manifest
coastal,2026-05-26T20:00Z,1,pre-manifest
coastal,2026-05-27T02:00Z,1,pre-manifest
coastal,2026-05-27T08:00Z,1,pre-manifest
coastal,2026-05-27T14:00Z,1,pre-manifest
coastal,2026-05-27T20:00Z,1,pre-manifest
coastal,2026-05-28T02:00Z,1,pre-manifest
coastal,2026-05-28T08:00Z,1,pre-manifest
coastal,2026-05-28T14:00Z,1,pre-manifest
coastal,2026-05-28T20:00Z,1,pre-manifest
coastal,2026-05-29T02:00Z,1,pre-manifest
coastal,2026-05-29T08:00Z,1,pre-manifest
coastal,2026-05-29T14:00Z,1,pre-manifest
coastal,2026-05-29T20:00Z,1,pre-manifest
coastal,2026-05-30T02:00Z,1,pre-manifest
coastal,2026-05-30T08:00Z,1,pre-manifest
coastal,2026-05-30T14:00Z,1,pre-manifest
coastal,2026-05-30T20:00Z,0,missing
coastal,2026-05-31T02:00Z,1,pre-manifest
coastal,2026-05-31T08:00Z,1,pre-manifest
coastal,2026-05-31T14:00Z,1,pre-manifest
coastal,2026-05-31T20:00Z,1,pre-manifest
coastal,2026-06-01T02:00Z,1,pre-manifest
coastal,2026-06-01T08:00Z,1,pre-manifest
coastal,2026-06-01T14:00Z,1,pre-manifest
coastal,2026-06-01T20:00Z,1,pre-manifest
coastal,2026-06-02T02:00Z,1,pre-manifest
coastal,2026-06-02T08:00Z,1,pre-manifest
coastal,2026-06-02T14:00Z,1,pre-manifest
coastal,2026-06-02T20:00Z,1,pre-manifest
coastal,2026-06-03T02:00Z,1,pre-manifest
coastal,2026-06-03T08:00Z,1,pre-manifest
coastal,2026-06-03T14:00Z,1,pre-manifest
coastal,2026-06-03T20:00Z,1,pre-manifest
coastal,2026-06-04T02:00Z,1,pre-manifest
coastal,2026-06-04T08:00Z,1,pre-manifest
coastal,2026-06-04T14:00Z,1,pre-manifest
coastal,2026-06-04T20:00Z,1,pre-manifest
coastal,2026-06-05T02:00Z,1,pre-manifest
coastal,2026-06-05T08:00Z,1,pre-manifest
coastal,2026-06-05T14:00Z,1,pre-manifest
coastal,2026-06-05T20:00Z,1,pre-manifest
coastal,2026-06-06T02:00Z,1,pre-manifest
coastal,2026-06-06T08:00Z,1,pre-manifest
coastal,2026-06-06T14:00Z,1,pre-manifest
coastal,2026-06-06T20:00Z,1,pre-manifest
coastal,2026-06-07T02:00Z,1,pre-manifest
coastal,2026-06-07T08:00Z,1,pre-manifest
coastal,2026-06-07T14:00Z,1,pre-manifest
coastal,2026-06-07T20:00Z,1,pre-manifest
coastal,2026-06-08T02:00Z,1,pre-manifest
coastal,2026-06-08T08:00Z,1,pre-manifest
coastal,2026-06-08T14:00Z,1,pre-manifest
coastal,2026-06-08T20:00Z,1,pre-manifest
coastal,2026-06-09T02:00Z,1,pre-manifest
coastal,2026-06-09T08:00Z,1,pre-manifest
coastal,2026-06-09T14:00Z,1,pre-manifest
coastal,2026-06-09T20:00Z,1,pre-manifest
coastal,2026-06-10T02:00Z,1,pre-manifest
coastal,2026-06-10T08:00Z,1,pre-manifest
coastal,2026-06-10T14:00Z,1,pre-manifest
coastal,2026-06-10T20:00Z,1,pre-manifest
coastal,2026-06-11T02:00Z,0,missing
coastal,2026-06-11T08:00Z,1,pre-manifest
coastal,2026-06-11T14:00Z,0,missing
coastal,2026-06-11T20:00Z,1,pre-manifest
coastal,2026-06-12T02:00Z,1,pre-manifest
coastal,2026-06-12T08:00Z,1,pre-manifest
coastal,2026-06-12T14:00Z,1,pre-manifest
coastal,2026-06-12T20:00Z,1,pre-manifest
coastal,2026-06-13T02:00Z,1,pre-manifest
coastal,2026-06-13T08:00Z,1,pre-manifest
coastal,2026-06-13T14:00Z,1,pre-manifest
coastal,2026-06-13T20:00Z,0,missing
coastal,2026-06-14T02:00Z,1,pre-manifest
coastal,2026-06-14T08:00Z,1,pre-manifest
coastal,2026-06-14T14:00Z,1,pre-manifest
coastal,2026-06-14T20:00Z,1,pre-manifest
coastal,2026-06-15T02:00Z,1,pre-manifest
coastal,2026-06-15T08:00Z,1,pre-manifest
coastal,2026-06-15T14:00Z,1,pre-manifest
coastal,2026-06-15T20:00Z,0,missing
coastal,2026-06-16T02:00Z,0,missing
coastal,2026-06-16T08:00Z,0,missing
coastal,2026-06-16T14:00Z,0,missing
coastal,2026-06-16T20:00Z,1,pre-manifest
coastal,2026-06-17T02:00Z,1,pre-manifest
coastal,2026-06-17T08:00Z,1,pre-manifest
coastal,2026-06-17T14:00Z,1,pre-manifest
coastal,2026-06-17T20:00Z,1,pre-manifest
coastal,2026-06-18T02:00Z,0,missing
coastal,2026-06-18T08:00Z,1,pre-manifest
coastal,2026-06-18T14:00Z,1,pre-manifest
coastal,2026-06-18T20:00Z,1,pre-manifest
coastal,2026-06-19T02:00Z,1,pre-manifest
coastal,2026-06-19T08:00Z,1,pre-manifest
coastal,2026-06-19T14:00Z,0,missing
coastal,2026-06-19T20:00Z,1,pre-manifest
coastal,2026-06-20T02:00Z,1,pre-manifest
coastal,2026-06-20T08:00Z,1,pre-manifest
coastal,2026-06-20T14:00Z,0,missing
coastal,2026-06-20T20:00Z,1,pre-manifest
coastal,2026-06-21T02:00Z,1,pre-manifest
coastal,2026-06-21T08:00Z,1,pre-manifest
coastal,2026-06-21T14:00Z,1,pre-manifest
coastal,2026-06-21T20:00Z,1,pre-manifest
coastal,2026-06-22T02:00Z,1,pre-manifest
coastal,2026-06-22T08:00Z,0,missing
coastal,2026-06-22T14:00Z,1,pre-manifest
coastal,2026-06-22T20:00Z,1,pre-manifest
coastal,2026-06-23T02:00Z,1,pre-manifest
coastal,2026-06-23T08:00Z,1,pre-manifest
coastal,2026-06-23T14:00Z,1,pre-manifest
coastal,2026-06-23T20:00Z,0,missing
coastal,2026-06-24T02:00Z,1,pre-manifest
coastal,2026-06-24T08:00Z,1,pre-manifest
coastal,2026-06-24T14:00Z,1,pre-manifest
coastal,2026-06-24T20:00Z,1,pre-manifest
coastal,2026-06-25T02:00Z,1,pre-manifest
coastal,2026-06-25T08:00Z,1,pre-manifest
coastal,2026-06-25T14:00Z,1,pre-manifest
coastal,2026-06-25T20:00Z,1,pre-manifest
coastal,2026-06-26T02:00Z,1,pre-manifest
coastal,2026-06-26T08:00Z,1,pre-manifest
coastal,2026-06-26T14:00Z,1,pre-manifest
coastal,2026-06-26T20:00Z,1,pre-manifest
coastal,2026-06-27T02:00Z,1,pre-manifest
coastal,2026-06-27T08:00Z,1,pre-manifest
coastal,2026-06-27T14:00Z,1,pre-manifest
coastal,2026-06-27T20:00Z,1,pre-manifest
coastal,2026-06-28T02:00Z,1,pre-manifest
coastal,2026-06-28T08:00Z,1,pre-manifest
coastal,2026-06-28T14:00Z,1,pre-manifest
coastal,2026-06-28T20:00Z,1,pre-manifest
coastal,2026-06-29T02:00Z,1,pre-manifest
coastal,2026-06-29T08:00Z,1,pre-manifest
coastal,2026-06-29T14:00Z,1,pre-manifest
coastal,2026-06-29T20:00Z,1,pre-manifest
coastal,2026-06-30T02:00Z,1,pre-manifest
coastal,2026-06-30T08:00Z,1,pre-manifest
coastal,2026-06-30T14:00Z,1,pre-manifest
coastal,2026-06-30T20:00Z,1,pre-manifest
coastal,2026-07-01T02:00Z,1,pre-manifest
coastal,2026-07-01T08:00Z,1,pre-manifest
coastal,2026-07-01T14:00Z,1,pre-manifest
coastal,2026-07-01T20:00Z,1,pre-manifest
coastal,2026-07-02T02:00Z,1,pre-manifest
coastal,2026-07-02T08:00Z,1,pre-manifest
coastal,2026-07-02T14:00Z,1,pre-manifest
